template_id,segment_id,segment_name,lifecycle_stage,goal,theme,language,content,tone,hook,feature_reference
T0001,0,Segment 0,churned,re_engagement,loss_avoidance,en,Your streak will break in {hours_left} hours—complete one exercise!,urgent,loss_avoidance,exercises
T0001_hi,0,Segment 0,churned,re_engagement,loss_avoidance,hi,Your स्ट्रीक will break in {hours_left} hours—पूरा करें one अभ्यास!,urgent,loss_avoidance,exercises
T0002,0,Segment 0,churned,re_engagement,loss_avoidance,en,Don't lose your {streak_current}-day streak! Practice now.,urgent,loss_avoidance,exercises
T0002_hi,0,Segment 0,churned,re_engagement,loss_avoidance,hi,Don't lose आपका {स्ट्रीक_current}-दिन स्ट्रीक! Practice now.,urgent,loss_avoidance,exercises
T0003,0,Segment 0,churned,re_engagement,loss_avoidance,en,Your progress is at risk—complete today's exercise.,urgent,loss_avoidance,exercises
T0003_hi,0,Segment 0,churned,re_engagement,loss_avoidance,hi,Your progress is at risk—पूरा करें आज's अभ्यास.,urgent,loss_avoidance,exercises
T0004,0,Segment 0,churned,re_engagement,loss_avoidance,en,Only {hours_left} hours to maintain your streak!,urgent,loss_avoidance,exercises
T0004_hi,0,Segment 0,churned,re_engagement,loss_avoidance,hi,Only {hours_left} hours to maintain आपका स्ट्रीक!,urgent,loss_avoidance,exercises
T0005,0,Segment 0,churned,re_engagement,loss_avoidance,en,Don't let your {coins_balance} coins go to waste—practice today!,urgent,loss_avoidance,exercises
T0005_hi,0,Segment 0,churned,re_engagement,loss_avoidance,hi,Don't let आपका {सिक्के_balance} सिक्के go to waste—अभ्यास करें आज!,urgent,loss_avoidance,exercises
T0006,0,Segment 0,inactive,activation,curiosity,en,Discover a new speaking exercise today!,curious,curiosity,exercises
T0006_hi,0,Segment 0,inactive,activation,curiosity,hi,Discover a new बोलना अभ्यास आज!,curious,curiosity,exercises
T0007,0,Segment 0,inactive,activation,curiosity,en,Try the AI tutor—see how it helps!,curious,curiosity,exercises
T0007_hi,0,Segment 0,inactive,activation,curiosity,hi,आज Try the AI tutor—see how it helps!,curious,curiosity,exercises
T0008,0,Segment 0,inactive,activation,curiosity,en,Unlock a surprise reward after your next exercise!,curious,curiosity,exercises
T0008_hi,0,Segment 0,inactive,activation,curiosity,hi,Unlock a surprise reward after आपका next अभ्यास!,curious,curiosity,exercises
T0009,0,Segment 0,inactive,activation,curiosity,en,What's your speaking score today? Find out!,curious,curiosity,exercises
T0009_hi,0,Segment 0,inactive,activation,curiosity,hi,What's आपका बोलना score आज? Find out!,curious,curiosity,exercises
T0010,0,Segment 0,inactive,activation,curiosity,en,Explore new practice scenarios—start now!,curious,curiosity,exercises
T0010_hi,0,Segment 0,inactive,activation,curiosity,hi,Explore new अभ्यास करें scenarios—start now!,curious,curiosity,exercises
T0011,0,Segment 0,paid,advocacy,accomplishment,en,You've completed {exercises_completed_7d} exercises this week—keep going!,celebratory,accomplishment,exercises
